timestamp,ticker,action,order_id,shares,cost
2026-06-25 12:57:13,SPY,SELL,MIGRATED,50,0.0
2026-06-25 12:57:13,QQQ,SELL,MIGRATED,50,0.0
2026-06-25 12:57:13,DIA,BUY,MIGRATED,50,25987.00
2026-06-25 12:57:13,XLK,SELL,MIGRATED,50,0.0
2026-06-25 12:57:13,XLV,BUY,MIGRATED,50,7781.50
2026-06-25 12:57:13,XLF,BUY,MIGRATED,50,2677.00
2026-06-25 12:57:13,XLY,SELL,MIGRATED,50,0.0
2026-06-25 12:57:13,XLP,BUY,MIGRATED,50,4209.00
2026-06-25 12:57:13,XLE,SELL,MIGRATED,50,0.0
2026-06-25 12:57:13,XLI,BUY,MIGRATED,50,9225.00
2026-06-25 12:57:13,XLB,BUY,MIGRATED,50,2595.00
2026-06-25 12:57:13,XLRE,BUY,MIGRATED,50,2229.00
2026-06-25 12:57:13,XLU,BUY,MIGRATED,50,2292.00
2026-06-25 12:57:13,XLC,SELL,MIGRATED,50,0.0
2026-06-26 14:38:56,EWJ,buy,65490bfc-c1c8-4f90-9a30-abd24cd4fb0d,6.0,0.0
2026-06-26 14:42:14,VEA,buy,2c183135-65e4-4817-b2d1-f823c3a9b09d,3.0,0.0
2026-06-26 14:42:14,IEFA,buy,e4545ff0-2dd2-4853-bdd3-9da975e6b1b5,1.0,0.0
2026-06-26 14:42:15,VGK,buy,ddcd0383-1c99-45f1-8500-1055a3a3d75f,4.0,0.0
2026-06-26 14:42:15,IEUR,buy,7063ff90-57fc-46c2-86db-74580318612e,5.0,0.0
2026-06-26 14:42:16,INDA,buy,4d8c1b1b-4494-4b95-a8c8-089da69783d7,20.0,0.0
2026-06-29 08:03:10,EWJ,sell,cea6449c-d25d-403c-9e5e-20b1c59e28d1,1.0,0.0
2026-06-29 08:03:10,VGK,sell,313460d2-2ff1-461f-8899-3b4f90560af1,4.0,0.0
2026-06-29 08:03:10,IEUR,sell,728c32ef-3ec8-465d-85d0-c533714da9eb,2.0,0.0
2026-06-29 08:03:12,EWZ,buy,99a3f388-116d-4fdb-b531-f1b23b2967d7,11.0,0.0
2026-06-30 07:20:18,QQQ,buy,7562bda6-57bf-49f3-b747-363a7215a532,1.0,0.0
2026-06-30 07:20:19,XLY,buy,577540a6-45a8-4151-b423-c7cf05170c5c,11.0,0.0
2026-06-30 07:20:20,XLB,sell,5823d765-9410-4b19-8296-1be6b4b82375,11.0,0.0
2026-06-30 07:20:22,VT,buy,52716e53-09c8-4c10-a645-eccc28a482b9,1.0,0.0
2026-06-30 07:20:22,ACWI,buy,17b00e1d-be58-4e56-a14e-64bb2417cce4,1.0,0.0
2026-06-30 07:20:23,VGK,buy,41535f0a-b9ca-4335-a16c-2dba3bd85cb1,7.0,0.0
2026-06-30 07:20:24,EWU,buy,1fabc5de-40f5-4191-a3b8-d26fad8718f0,6.0,0.0
2026-07-01 10:00:53,SPY,buy,436278a1-df91-48ec-81aa-d5736ca1f412,8.0,0.0
2026-07-01 10:00:54,XLK,buy,ba99b4cf-defc-4f64-90d8-d30ee1085f0b,22.0,0.0
2026-07-01 10:00:55,XLP,sell,e5b13708-21ed-4405-81b6-d3014ad81ca2,6.0,0.0
2026-07-01 10:00:56,XLRE,sell,8ecf75f3-ff2a-4e04-b29c-2692a2b822e7,6.0,0.0
2026-07-01 10:00:57,EEM,buy,da1c4b04-3383-4c38-9ee8-fd5e3f9c914f,9.0,0.0
2026-07-01 10:00:57,VWO,buy,b9edadc1-d410-4a45-83b1-c67292807127,4.0,0.0
2026-07-02 08:36:54,XLK,sell,e1f72041-6621-4868-89e8-267bb3fc35fe,2.0,0.0
2026-07-02 08:36:57,XLC,buy,62c3f16c-7b30-4ffc-9f29-f2e5b0e5849f,2.0,0.0
2026-07-02 08:36:57,VWO,sell,b25fa9ba-e688-41a0-a209-3ce152cac4af,3.0,0.0
2026-07-07 07:40:59,SPY,buy,c3f4abe1-9c25-47c9-ae0b-eb4d57b525e0,16.0,0.0
2026-07-07 07:40:59,QQQ,buy,acf4acb9-1aa9-4735-acbe-3a93a4029366,5.0,0.0
2026-07-07 07:40:59,DIA,buy,5cebd2f1-eba9-4d04-b196-b4a7728f66bb,27.0,0.0
2026-07-07 07:41:00,XLV,buy,c9974576-ae20-4903-aa11-e10714ab1a00,47.0,0.0
2026-07-07 07:41:00,XLF,buy,8f2791e8-ca19-4331-b01f-6e838fce6c54,49.0,0.0
2026-07-07 07:41:01,XLY,buy,236f00ef-d083-4ec6-9cf9-0b803e875a56,18.0,0.0
2026-07-07 07:41:01,XLP,buy,a8370774-b28a-4ae2-8be6-f71d8974a412,3.0,0.0
2026-07-07 07:41:02,XLI,buy,54717df5-875f-46be-836c-c93c02f93cdd,36.0,0.0
2026-07-07 07:41:02,XLB,buy,d5154998-af99-49da-842c-fb2c8cf989f0,15.0,0.0
2026-07-07 07:41:03,XLU,buy,5243201c-32e7-4f66-a42d-10a304f93316,13.0,0.0
2026-07-07 07:41:03,XLC,buy,cbb560e7-2416-4515-8b96-44a753335cf4,9.0,0.0
2026-07-07 07:41:03,EEM,buy,122f5d19-a179-4ac6-85f9-8f51b3917a69,3.0,0.0
2026-07-07 07:41:04,VWO,buy,235e2fd6-3772-43bf-9fd8-425026384243,13.0,0.0
2026-07-07 07:41:04,VEA,buy,b8b658ce-9757-4217-b78f-e1509618df4d,16.0,0.0
2026-07-07 07:41:04,IEFA,buy,6d5e1dbe-36ca-47ea-9aec-0bbae99d0c06,24.0,0.0
2026-07-07 07:41:05,VT,buy,9fccae8c-90bf-4868-a9ed-e2b0b33bbe02,15.0,0.0
2026-07-07 07:41:05,ACWI,buy,705ccf79-b8a9-42fd-a56a-1a0ab6349d97,16.0,0.0
2026-07-07 07:41:05,EWJ,buy,1145f914-8ce7-4a09-ad67-c32fca4961a4,25.0,0.0
2026-07-07 07:41:06,VGK,buy,6a95f830-9540-4ccd-a54e-b6d54cc2044e,25.0,0.0
2026-07-07 07:41:06,IEUR,buy,8ceffb00-20e6-4ead-a0ba-a4ea9821a2f1,27.0,0.0
2026-07-07 07:41:07,INDA,buy,311e09c9-74cd-4b91-a6f9-6eb2385edecf,21.0,0.0
2026-07-07 07:41:07,EWC,buy,e1c97694-9bde-490e-a46d-6eaac19842cc,3.0,0.0
2026-07-07 07:41:07,EWU,buy,a17697fb-33c5-44bf-9d4d-0293d2a04ecd,27.0,0.0
2026-07-07 07:41:08,EWA,buy,af751ee4-2be4-4728-a967-d50194dd73dd,5.0,0.0
2026-07-07 07:41:08,EWZ,buy,f8467a65-87c5-4368-8744-7411c51a7dad,22.0,0.0
2026-07-08 09:35:40,SPY,buy,b44cf3bd-1c32-4f8e-8326-724d3c6e2940,10.0,0.0
2026-07-08 09:35:41,DIA,buy,beee67af-98ef-4c5b-9d39-218bc7b6dbd3,22.0,0.0
2026-07-08 09:35:41,XLV,buy,ef55e2a2-feb4-492d-a55a-b9f2ce0b0cba,58.0,0.0
2026-07-08 09:35:41,XLF,buy,d2916aad-9c5b-447c-827d-9ef76ab6ea60,44.0,0.0
2026-07-08 09:35:42,XLY,buy,a82424f8-1bee-43b4-a125-9958f72cc002,12.0,0.0
2026-07-08 09:35:42,XLP,buy,4059df96-6b4b-4514-9dd7-80910eb62abb,11.0,0.0
2026-07-08 09:35:43,XLI,buy,c8d9b75d-8dd3-441a-9bef-29544a25a7ee,15.0,0.0
2026-07-08 09:35:43,XLB,buy,af5b9c17-b3f9-4ba5-a15a-fcc4af96a5b1,4.0,0.0
2026-07-08 09:35:43,XLRE,buy,d9ef84de-9253-42cc-bdd7-1ede3c5d5201,11.0,0.0
2026-07-08 09:35:44,XLU,buy,c520b2c2-4357-4b0c-909b-0cbc9430105b,20.0,0.0
2026-07-08 09:35:44,XLC,buy,805f9d32-29a3-458a-afad-e4639bf07ab1,16.0,0.0
2026-07-08 09:35:45,IEFA,buy,2da9bd6a-f94f-4fbc-91ea-528cdbd98304,8.0,0.0
2026-07-08 09:35:46,VT,buy,23f53bac-1717-4678-ba8f-ddf718cae139,5.0,0.0
2026-07-08 09:35:46,ACWI,buy,dbf93d19-0604-4628-ad44-59c9af854a9f,6.0,0.0
2026-07-08 09:35:47,VGK,buy,14086c7f-a2c4-4cab-8a85-3105f4c1847c,13.0,0.0
2026-07-08 09:35:47,IEUR,buy,5fc280f5-a644-4fd3-bd91-41dc4cc1f591,14.0,0.0
2026-07-08 09:35:48,INDA,buy,e1b1d0d8-b56f-41f1-b997-bc564a69ce90,8.0,0.0
2026-07-08 09:35:48,EWC,buy,abeead6c-fb55-4c28-aa81-137120fdcb22,7.0,0.0
2026-07-08 09:35:48,EWU,buy,47949617-4c1d-4683-a16e-38f8eb57d0b7,23.0,0.0
2026-07-08 09:35:49,EWZ,buy,10b6c244-9b36-411c-bbdf-c9360ff81791,12.0,0.0
